[08-Apr-19 20:19:05 | INFO utils.py:157 -         load_logging() ] Logger loaded
[08-Apr-19 20:19:05 | INFO utils.py:143 -          load_config() ] Config loaded!
[08-Apr-19 20:19:05 | INFO utils.py:88 -            load_data() ] Loaded 48 samples
[08-Apr-19 20:19:05 | INFO utils.py:101 -            load_data() ] Vocab size : 58
[08-Apr-19 20:19:05 | INFO utils.py:118 -            load_data() ] Created training data loader having 38 samples and 2 batches of size 32
[08-Apr-19 20:19:05 | INFO utils.py:128 -            load_data() ] Created validation data loader having 10 samples and 2 batches of size 32
[08-Apr-19 20:19:05 | INFO model.py:16 -             __init__() ] Embedding layer created : Embedding(59, 128)
[08-Apr-19 20:19:05 | INFO model.py:20 -             __init__() ] Recurrent layer created : GRUCell(128, 128)
[08-Apr-19 20:19:05 | INFO model.py:24 -             __init__() ] Linear layer created : Linear(in_features=128, out_features=2, bias=True)
[08-Apr-19 20:19:05 | INFO model.py:28 -             __init__() ] MyModel created!
[08-Apr-19 20:19:05 | INFO trainer.py:38 -             __init__() ] Trainer created!
[08-Apr-19 20:19:05 | INFO trainer.py:95 -                train() ] Starting the training...
[08-Apr-19 20:19:35 | INFO utils.py:157 -         load_logging() ] Logger loaded
[08-Apr-19 20:19:35 | INFO utils.py:143 -          load_config() ] Config loaded!
[08-Apr-19 20:19:35 | INFO utils.py:88 -            load_data() ] Loaded 48 samples
[08-Apr-19 20:19:35 | INFO utils.py:101 -            load_data() ] Vocab size : 58
[08-Apr-19 20:19:35 | INFO utils.py:118 -            load_data() ] Created training data loader having 38 samples and 2 batches of size 32
[08-Apr-19 20:19:35 | INFO utils.py:128 -            load_data() ] Created validation data loader having 10 samples and 2 batches of size 32
[08-Apr-19 20:19:35 | INFO model.py:16 -             __init__() ] Embedding layer created : Embedding(59, 128)
[08-Apr-19 20:19:35 | INFO model.py:20 -             __init__() ] Recurrent layer created : GRUCell(128, 128)
[08-Apr-19 20:19:35 | INFO model.py:24 -             __init__() ] Linear layer created : Linear(in_features=128, out_features=2, bias=True)
[08-Apr-19 20:19:35 | INFO model.py:28 -             __init__() ] MyModel created!
[08-Apr-19 20:19:35 | INFO trainer.py:38 -             __init__() ] Trainer created!
[08-Apr-19 20:19:35 | INFO trainer.py:95 -                train() ] Starting the training...
[08-Apr-19 20:19:59 | INFO utils.py:157 -         load_logging() ] Logger loaded
[08-Apr-19 20:19:59 | INFO utils.py:143 -          load_config() ] Config loaded!
[08-Apr-19 20:19:59 | INFO utils.py:88 -            load_data() ] Loaded 48 samples
[08-Apr-19 20:19:59 | INFO utils.py:101 -            load_data() ] Vocab size : 58
[08-Apr-19 20:19:59 | INFO utils.py:118 -            load_data() ] Created training data loader having 38 samples and 2 batches of size 32
[08-Apr-19 20:19:59 | INFO utils.py:128 -            load_data() ] Created validation data loader having 10 samples and 2 batches of size 32
[08-Apr-19 20:19:59 | INFO model.py:16 -             __init__() ] Embedding layer created : Embedding(59, 128)
[08-Apr-19 20:19:59 | INFO model.py:20 -             __init__() ] Recurrent layer created : GRUCell(128, 128)
[08-Apr-19 20:19:59 | INFO model.py:24 -             __init__() ] Linear layer created : Linear(in_features=128, out_features=2, bias=True)
[08-Apr-19 20:19:59 | INFO model.py:28 -             __init__() ] MyModel created!
[08-Apr-19 20:19:59 | INFO trainer.py:38 -             __init__() ] Trainer created!
[08-Apr-19 20:19:59 | INFO trainer.py:95 -                train() ] Starting the training...
[08-Apr-19 20:21:01 | INFO utils.py:157 -         load_logging() ] Logger loaded
[08-Apr-19 20:21:01 | INFO utils.py:143 -          load_config() ] Config loaded!
[08-Apr-19 20:21:01 | INFO utils.py:88 -            load_data() ] Loaded 48 samples
[08-Apr-19 20:21:01 | INFO utils.py:101 -            load_data() ] Vocab size : 58
[08-Apr-19 20:21:01 | INFO utils.py:118 -            load_data() ] Created training data loader having 38 samples and 2 batches of size 32
[08-Apr-19 20:21:01 | INFO utils.py:128 -            load_data() ] Created validation data loader having 10 samples and 2 batches of size 32
[08-Apr-19 20:21:01 | INFO model.py:16 -             __init__() ] Embedding layer created : Embedding(59, 128)
[08-Apr-19 20:21:01 | INFO model.py:20 -             __init__() ] Recurrent layer created : GRUCell(128, 128)
[08-Apr-19 20:21:01 | INFO model.py:24 -             __init__() ] Linear layer created : Linear(in_features=128, out_features=2, bias=True)
[08-Apr-19 20:21:01 | INFO model.py:28 -             __init__() ] MyModel created!
[08-Apr-19 20:21:01 | INFO trainer.py:38 -             __init__() ] Trainer created!
[08-Apr-19 20:21:01 | INFO trainer.py:95 -                train() ] Starting the training...
[08-Apr-19 20:21:42 | INFO utils.py:157 -         load_logging() ] Logger loaded
[08-Apr-19 20:21:42 | INFO utils.py:143 -          load_config() ] Config loaded!
[08-Apr-19 20:21:42 | INFO utils.py:88 -            load_data() ] Loaded 48 samples
[08-Apr-19 20:21:42 | INFO utils.py:101 -            load_data() ] Vocab size : 58
[08-Apr-19 20:21:42 | INFO utils.py:118 -            load_data() ] Created training data loader having 38 samples and 2 batches of size 32
[08-Apr-19 20:21:42 | INFO utils.py:128 -            load_data() ] Created validation data loader having 10 samples and 2 batches of size 32
[08-Apr-19 20:21:42 | INFO model.py:16 -             __init__() ] Embedding layer created : Embedding(59, 128)
[08-Apr-19 20:21:42 | INFO model.py:20 -             __init__() ] Recurrent layer created : GRUCell(128, 128)
[08-Apr-19 20:21:42 | INFO model.py:24 -             __init__() ] Linear layer created : Linear(in_features=128, out_features=2, bias=True)
[08-Apr-19 20:21:42 | INFO model.py:28 -             __init__() ] MyModel created!
[08-Apr-19 20:21:42 | INFO trainer.py:38 -             __init__() ] Trainer created!
[08-Apr-19 20:21:42 | INFO trainer.py:95 -                train() ] Starting the training...
[08-Apr-19 20:22:11 | INFO utils.py:157 -         load_logging() ] Logger loaded
[08-Apr-19 20:22:11 | INFO utils.py:143 -          load_config() ] Config loaded!
[08-Apr-19 20:22:11 | INFO utils.py:88 -            load_data() ] Loaded 48 samples
[08-Apr-19 20:22:11 | INFO utils.py:101 -            load_data() ] Vocab size : 58
[08-Apr-19 20:22:11 | INFO utils.py:118 -            load_data() ] Created training data loader having 38 samples and 2 batches of size 32
[08-Apr-19 20:22:11 | INFO utils.py:128 -            load_data() ] Created validation data loader having 10 samples and 2 batches of size 32
[08-Apr-19 20:22:11 | INFO model.py:16 -             __init__() ] Embedding layer created : Embedding(59, 128)
[08-Apr-19 20:22:11 | INFO model.py:20 -             __init__() ] Recurrent layer created : GRUCell(128, 128)
[08-Apr-19 20:22:11 | INFO model.py:24 -             __init__() ] Linear layer created : Linear(in_features=128, out_features=2, bias=True)
[08-Apr-19 20:22:11 | INFO model.py:28 -             __init__() ] MyModel created!
[08-Apr-19 20:22:19 | INFO utils.py:157 -         load_logging() ] Logger loaded
